cueSize	targetValidity	sbj	gender	age	answerCorrect	reactionTime
big	valid	10	man	20	1	0.230056180146387
small	valid	10	man	20	1	0.208747821190306
big	valid	10	man	20	1	0.486360053142764
small	valid	10	man	20	1	0.277456722873702
big	valid	10	man	20	1	0.404749396832519
small	valid	10	man	20	1	0.313271443456319
big	valid	10	man	20	1	0.425484953735503
small	valid	10	man	20	0	0.246003294513342
big	valid	10	man	20	1	0.444062031152684
small	valid	10	man	20	1	0.350443747152547
big	valid	10	man	20	0	0.487051593006591
small	valid	10	man	20	1	0.146095718322019
big	valid	10	man	20	1	0.336034878723329
small	valid	10	man	20	1	0.362169996595745
big	valid	10	man	20	1	0.445455056500691
small	valid	10	man	20	1	0.424588549678369
big	valid	10	man	20	1	0.288132721203048
small	valid	10	man	20	99	0
big	valid	10	man	20	1	0.28619228209339
small	valid	10	man	20	0	0.314998806284447
big	valid	10	man	20	1	0.436278584710871
small	valid	10	man	20	1	0.238162381068821
big	valid	10	man	20	1	0.3331716178701
small	valid	10	man	20	1	0.313752698901472
big	valid	10	man	20	1	0.40209986653576
small	valid	10	man	20	0	0.415203887362939
big	valid	10	man	20	1	0.39681363510916
small	valid	10	man	20	1	0.420361829701653
big	valid	10	man	20	1	0.395537276822684
small	valid	10	man	20	1	0.351539785066735
big	valid	10	man	20	1	0.359101265912119
small	valid	10	man	20	1	0.352551972203277
big	valid	10	man	20	1	0.341675866124122
small	valid	10	man	20	1	0.267755137163602
big	valid	10	man	20	1	0.263210269941424
small	valid	10	man	20	1	0.383886076083238
big	valid	10	man	20	1	0.460843659804796
small	valid	10	man	20	1	0.447465714152406
big	valid	10	man	20	1	0.340899272879173
small	valid	10	man	20	1	0.253871226661967
big	valid	10	man	20	1	0.387868067855957
small	valid	10	man	20	1	0.374072834269978
big	valid	10	man	20	1	0.446317276500869
small	valid	10	man	20	1	0.203854424961365
big	valid	10	man	20	1	0.341650758230835
small	valid	10	man	20	1	0.28302613304288
big	valid	10	man	20	1	0.462472082316186
small	valid	10	man	20	1	0.259264325771406
big	valid	10	man	20	1	0.363641677054594
small	valid	10	man	20	1	0.374491733853683
big	valid	10	man	20	1	0.333556516380734
small	valid	10	man	20	1	0.426971600189726
big	valid	10	man	20	1	0.330665258772926
small	valid	10	man	20	1	0.402482904310691
big	valid	10	man	20	1	0.444734869109085
small	valid	10	man	20	1	0.218275963397687
big	valid	10	man	20	1	0.301081804615375
small	valid	10	man	20	1	0.402931966435054
big	valid	10	man	20	1	0.2891726334151
small	valid	10	man	20	1	0.282748839720765
big	valid	10	man	20	1	0.391901615400743
small	valid	10	man	20	1	0.248328663774362
big	valid	10	man	20	1	0.397432885849742
small	valid	10	man	20	1	0.31303359280648
big	valid	10	man	20	1	0.404991332751062
small	valid	10	man	20	1	0.313539380380004
big	valid	10	man	20	1	0.337178107580103
small	valid	10	man	20	1	0.420473172671633
big	valid	10	man	20	1	0.272749695194372
small	valid	10	man	20	1	0.617798888911212
big	valid	10	man	20	1	0.345833281110516
small	valid	10	man	20	1	0.183987903568678
big	valid	10	man	20	1	0.442671741353021
small	valid	10	man	20	1	0.311024199631133
big	valid	10	man	20	1	0.331501811055218
small	valid	10	man	20	0	0.261948878589752
big	valid	10	man	20	1	0.265992748244442
small	valid	10	man	20	1	0.34273927066045
big	valid	10	man	20	1	0.334548156752449
small	valid	10	man	20	1	0.392647267665755
big	invalid	10	man	20	1	0.406977928409729
small	invalid	10	man	20	1	0.453386492258861
big	invalid	10	man	20	1	0.189100372315339
small	invalid	10	man	20	1	0.689066942164149
big	invalid	10	man	20	1	0.48677086186851
small	invalid	10	man	20	1	0.346007787832738
big	invalid	10	man	20	1	0.290964136103245
small	invalid	10	man	20	1	0.445035438663995
big	invalid	10	man	20	0	0.275922168225342
small	invalid	10	man	20	1	0.337408028622336
big	invalid	10	man	20	0	0.253278098829003
small	invalid	10	man	20	1	0.362145030333075
big	invalid	10	man	20	1	0.359886664324515
small	invalid	10	man	20	1	0.337703353408293
big	invalid	10	man	20	0	0.450893867747094
small	invalid	10	man	20	1	0.467329070734999
big	invalid	10	man	20	1	0.296647814169696
small	invalid	10	man	20	0	0.293907022966318
big	invalid	10	man	20	0	0.287579559916361
small	invalid	10	man	20	1	0.449155935488404
big	invalid	10	man	20	1	0.339022150302238
small	invalid	10	man	20	1	0.39800428569971
big	invalid	10	man	20	1	0.403192242817281
small	invalid	10	man	20	1	0.801241008034561
big	invalid	10	man	20	1	0.372252143707611
small	invalid	10	man	20	1	0.348802555983342
big	invalid	10	man	20	1	0.32115418188756
small	invalid	10	man	20	1	0.225018979070119
big	invalid	10	man	20	1	0.265924579180773
small	invalid	10	man	20	1	0.465826084380881
big	invalid	10	man	20	1	0.379354936396656
small	invalid	10	man	20	1	0.322070102259034
big	invalid	10	man	20	1	0.362417405361181
small	invalid	10	man	20	1	0.233928669844477
big	invalid	10	man	20	0	0.408169137663265
small	invalid	10	man	20	1	0.390642765857649
big	invalid	10	man	20	1	0.383936283213297
small	invalid	10	man	20	1	0.322854675818511
big	invalid	10	man	20	1	0.438541245906085
small	invalid	10	man	20	1	0.356829589675909
big	invalid	10	man	20	1	0.352305216950291
small	invalid	10	man	20	1	0.426522919181299
big	invalid	10	man	20	1	0.464936158213257
small	invalid	10	man	20	1	0.713503383416089
big	invalid	10	man	20	1	0.261962016416874
small	invalid	10	man	20	1	0.355436127079743
big	invalid	10	man	20	1	0.17990229132538
small	invalid	10	man	20	1	0.410082767102867
big	invalid	10	man	20	1	0.377650259981022
small	invalid	10	man	20	1	0.380102636240667
big	invalid	10	man	20	1	0.461307657485726
small	invalid	10	man	20	1	0.411350872320554
big	invalid	10	man	20	1	0.291556052961897
small	invalid	10	man	20	1	0.350676466063048
big	invalid	10	man	20	1	0.435487451964549
small	invalid	10	man	20	0	0.4142794851892
big	invalid	10	man	20	1	0.305617136490201
small	invalid	10	man	20	1	0.394190857976007
big	invalid	10	man	20	1	0.37648055064824
small	invalid	10	man	20	1	0.352316536199799
big	invalid	10	man	20	1	0.384901214577745
small	invalid	10	man	20	1	0.416983080934345
big	invalid	10	man	20	1	0.377641755704362
small	invalid	10	man	20	1	0.598528815602009
big	invalid	10	man	20	1	0.390740407677163
small	invalid	10	man	20	1	0.4381383097245
big	invalid	10	man	20	1	0.456653226654471
small	invalid	10	man	20	1	0.331891635557349
big	invalid	10	man	20	1	0.296804092629884
small	invalid	10	man	20	1	0.383349277483403
big	invalid	10	man	20	0	0.363451397474968
small	invalid	10	man	20	1	0.490815199451869
big	invalid	10	man	20	1	0.274967284000297
small	invalid	10	man	20	1	0.395460609188309
big	invalid	10	man	20	1	0.300267335855256
small	invalid	10	man	20	1	0.422183840101821
big	invalid	10	man	20	1	0.37718232412224
small	invalid	10	man	20	1	0.297468967971487
big	invalid	10	man	20	1	0.405689548715958
small	invalid	10	man	20	1	0.364471977081863
big	invalid	10	man	20	1	0.278361762026757
small	invalid	10	man	20	1	0.403700199415498
big	invalid	10	man	20	1	0.444606251339659
small	invalid	10	man	20	1	0.402802907689655
big	invalid	10	man	20	1	0.365223884102403
small	invalid	10	man	20	1	0.287085212936246
big	invalid	10	man	20	1	0.207436297647358
small	invalid	10	man	20	1	0.419886449233881
big	invalid	10	man	20	1	0.264644238297794
small	invalid	10	man	20	1	0.232250622672699
big	invalid	10	man	20	1	0.460680043612547
small	invalid	10	man	20	1	0.400620598660787
