cueSize	targetValidity	sbj	gender	age	answerCorrect	reactionTime
big	valid	3	man	21	1	0.649188176983358
small	valid	3	man	21	1	0.642560249817886
big	valid	3	man	21	1	0.43201541329388
small	valid	3	man	21	1	0.426071760459905
big	valid	3	man	21	0	0.521428187865118
small	valid	3	man	21	1	0.45889659235438
big	valid	3	man	21	0	0.536779914779355
small	valid	3	man	21	1	0.450396333707353
big	valid	3	man	21	1	0.512424667086067
small	valid	3	man	21	1	0.47516374293054
big	valid	3	man	21	1	0.963297036157698
small	valid	3	man	21	1	0.611940874846592
big	valid	3	man	21	1	0.405419716163986
small	valid	3	man	21	1	0.508487787416089
big	valid	3	man	21	1	0.453227927954218
small	valid	3	man	21	1	0.45858761050891
big	valid	3	man	21	1	0.557265199068374
small	valid	3	man	21	1	0.487940123631574
big	valid	3	man	21	1	0.600974982796699
small	valid	3	man	21	1	0.4564559246414
big	valid	3	man	21	1	0.517185109852433
small	valid	3	man	21	1	0.468591380916282
big	valid	3	man	21	1	0.62508734409659
small	valid	3	man	21	1	0.488432117097308
big	valid	3	man	21	1	0.450661952694819
small	valid	3	man	21	1	0.547282318051376
big	valid	3	man	21	1	0.537327041005933
small	valid	3	man	21	1	0.516654382956382
big	valid	3	man	21	1	0.465417524406917
small	valid	3	man	21	1	0.519010396903461
big	valid	3	man	21	0	0.553792756985858
small	valid	3	man	21	1	0.59971071775571
big	valid	3	man	21	1	0.652649478393846
small	valid	3	man	21	1	0.558741613113948
big	valid	3	man	21	1	0.489594654116405
small	valid	3	man	21	1	0.449677685212079
big	valid	3	man	21	1	0.456741005719876
small	valid	3	man	21	1	0.521303264908139
big	valid	3	man	21	1	0.618382433221853
small	valid	3	man	21	1	0.54950752874964
big	valid	3	man	21	1	0.47241047733505
small	valid	3	man	21	1	0.431427970419704
big	valid	3	man	21	1	0.815536728525205
small	valid	3	man	21	1	0.390078496377349
big	valid	3	man	21	1	0.552660592029144
small	valid	3	man	21	1	0.44744567645357
big	valid	3	man	21	1	0.587466652559924
small	valid	3	man	21	1	0.544747967063316
big	valid	3	man	21	1	0.572611999830495
small	valid	3	man	21	1	0.504222225325091
big	valid	3	man	21	1	0.545338017603386
small	valid	3	man	21	1	0.637445231195024
big	valid	3	man	21	1	0.477117548944711
small	valid	3	man	21	1	0.486697808892215
big	valid	3	man	21	1	0.546204353669325
small	valid	3	man	21	1	0.409572622119331
big	valid	3	man	21	1	0.474225384984676
small	valid	3	man	21	1	0.504507591287703
big	valid	3	man	21	1	0.632523792399129
small	valid	3	man	21	1	0.402840534602946
big	valid	3	man	21	1	0.467084292849068
small	valid	3	man	21	1	0.554297781043509
big	valid	3	man	21	1	0.560600899514744
small	valid	3	man	21	1	0.628778758108782
big	valid	3	man	21	1	0.528329375779039
small	valid	3	man	21	1	0.395099731175013
big	valid	3	man	21	1	0.483884116781842
small	valid	3	man	21	1	0.513761499145529
big	valid	3	man	21	1	0.563287875665533
small	valid	3	man	21	1	0.644267004984837
big	valid	3	man	21	0	0.4792603519451
small	valid	3	man	21	1	0.388227645189244
big	valid	3	man	21	1	0.805244158975652
small	valid	3	man	21	1	0.495673160139744
big	valid	3	man	21	1	0.531838837028812
small	valid	3	man	21	1	0.575397763203883
big	valid	3	man	21	1	0.638356585701579
small	valid	3	man	21	1	0.387305050918461
big	valid	3	man	21	1	0.54929028391841
small	valid	3	man	21	1	0.400340797340876
big	invalid	3	man	21	1	0.926354506500475
small	invalid	3	man	21	1	0.55212445447786
big	invalid	3	man	21	1	0.591143131534473
small	invalid	3	man	21	1	0.53400609095505
big	invalid	3	man	21	1	0.375037435231951
small	invalid	3	man	21	0	0.437702183326407
big	invalid	3	man	21	0	0.358773229020863
small	invalid	3	man	21	1	0.442394793577188
big	invalid	3	man	21	1	0.563314977029471
small	invalid	3	man	21	1	0.578914665726772
big	invalid	3	man	21	1	0.549455105413463
small	invalid	3	man	21	1	0.52465901898386
big	invalid	3	man	21	1	0.537803971764721
small	invalid	3	man	21	1	0.507466007206446
big	invalid	3	man	21	1	0.519665648986345
small	invalid	3	man	21	1	0.554570731456469
big	invalid	3	man	21	1	0.612449630309781
small	invalid	3	man	21	1	0.527308677071876
big	invalid	3	man	21	1	0.570557085504538
small	invalid	3	man	21	1	0.452070246156073
big	invalid	3	man	21	1	0.706504257306732
small	invalid	3	man	21	1	0.565866823567461
big	invalid	3	man	21	1	0.545622659093794
small	invalid	3	man	21	1	0.364567576833486
big	invalid	3	man	21	1	0.638436534718311
small	invalid	3	man	21	1	0.642108630455751
big	invalid	3	man	21	1	0.451074963278245
small	invalid	3	man	21	1	0.423652023018585
big	invalid	3	man	21	1	0.548837362714349
small	invalid	3	man	21	1	0.62799581196716
big	invalid	3	man	21	1	0.460922238751642
small	invalid	3	man	21	99	0
big	invalid	3	man	21	0	0.425045127748451
small	invalid	3	man	21	1	0.665103192355969
big	invalid	3	man	21	1	0.472426273001237
small	invalid	3	man	21	1	0.463262681525375
big	invalid	3	man	21	1	0.482656630136065
small	invalid	3	man	21	1	0.423432516358151
big	invalid	3	man	21	0	0.525117539582249
small	invalid	3	man	21	1	0.641220696852492
big	invalid	3	man	21	1	0.575828111450332
small	invalid	3	man	21	1	0.468787783920447
big	invalid	3	man	21	1	0.403807603841843
small	invalid	3	man	21	0	0.398964262903279
big	invalid	3	man	21	1	0.422090115665631
small	invalid	3	man	21	0	0.674150424646617
big	invalid	3	man	21	1	0.538691375459996
small	invalid	3	man	21	1	0.544249930928933
